avgClose,label
84814.48000000001,84724.51
84794.162,84738.92
84799.074,84713.98
84772.23799999998,84709.52
84745.38399999999,84561.31
84689.648,84599.99
84664.74399999999,84589.33
84634.826,84578.26
84607.682,84550.0
84575.778,84659.93
84595.50200000001,84664.0
84608.304,84696.53
84629.74399999999,84726.42
84659.37599999999,84688.1
84686.996,84623.4
84679.69000000002,84523.19
84651.528,84503.72
84612.96599999999,84475.46
84562.774,84494.76
84524.106,84536.0
84506.626,84607.0
84523.388,84437.22
84510.08799999999,84469.62
84508.92,84370.33
84484.034,84271.69
84431.17199999999,84262.0
84362.17199999999,84243.51
84323.43000000001,84298.87
84289.28,84257.68
84266.75,84196.0
84251.612,84226.6
84244.532,84162.51
84228.33200000001,84100.0
84188.55799999999,84111.36
84159.294,84058.54
84131.802,83994.04
84085.29,84081.97
84069.18199999999,83990.63
84047.308,84138.14
84052.664,84175.06
84075.96800000001,84238.0
84124.76,84319.63
84172.292,84162.3
84206.626,84199.91
84218.98000000001,84125.99
84209.166,84100.33
84181.63200000001,84067.05
84131.11600000001,84039.79
84106.614,84188.02
84104.236,84209.57
84120.952,84150.01
84130.888,84409.28
84199.334,84314.45
84254.266,84253.99
84267.45999999999,84251.4
84275.826,84419.61
84329.746,84426.33
84333.156,84360.87
84342.44,84353.05
84362.25200000001,84332.64
84378.5,84341.28
84362.834,84406.01
84358.76999999999,84563.7
84399.336,84682.1
84465.146,84673.25
84533.268,84684.37
84601.886,84651.01
84650.886,84627.7
84663.686,84677.04
84662.674,84802.36
84688.496,84926.93
84737.008,85311.84
84869.174,85121.57
84967.948,84969.71
85026.48199999999,85083.99
85082.80799999999,85133.53
85124.128,85027.99
85067.35800000001,85016.65
85046.374,85090.02
85070.43600000002,85017.73
85057.184,85019.62
85034.402,85071.25
85043.05399999999,85148.01
85069.326,85123.38
85075.99799999999,85226.0
85117.652,85220.82
85157.892,85102.14
85164.07,84994.48
85133.364,85024.8
85113.648,85021.78
85072.804,85023.95
85033.43,84857.03
84984.40800000001,84867.92
84959.096,84898.66
84933.86799999999,84965.99
84922.70999999999,84871.57
84892.23400000001,84952.75
84911.378,84908.85
84919.56400000001,84820.76
84903.98400000001,84783.03
84867.39199999999,84716.54
84836.386,84726.42
84791.12,84650.0
84739.34999999999,84616.0
84698.398,84566.91
84655.174,84649.0
84641.666,84579.84
84612.35,84759.34
